Méta-thème,Thème,Code,Extrait
Acceptation limitée,Acceptation limitée,Acceptation conditionnelle,"Pas dans le cadre professionnel. Je dirais plutôt dans le cadre personnel, ça peut être non acceptable. Certaines choses relèvent du cadre personnel, tout simplement."
Acceptation limitée,Acceptation limitée,Acceptation conditionnelle,"Pas dans le cadre professionnel. Je dirais plutôt dans le cadre personnel, ça peut être non acceptable. Certaines choses relèvent du cadre personnel, tout simplement."
Dépendance stratégique,Dépendance stratégique,Dépendance stratégique,"Je pense que dans certaines filières, ça peut être vraiment utile. Je pense aux filières scientifiques ou peut-être rien que, je ne sais pas, pour des formules mathématiques ou des formules chimiques. C'est des choses qui sont actées."
Dépendance stratégique,Dépendance stratégique,Dépendance stratégique,"Je pense que dans certaines filières, ça peut être vraiment utile. Je pense aux filières scientifiques ou peut-être rien que, je ne sais pas, pour des formules mathématiques ou des formules chimiques. C'est des choses qui sont actées."
Dépendance stratégique,Dépendance stratégique,Dépendance à la technologie,Ma relation à la technologie est bonne puisque je suis dans une génération qui a quand même baigné dedans depuis tout petit. Donc je ne suis pas très familière à ce genre de logiciels ou d'intelligence artistique.
Dépendance stratégique,Dépendance stratégique,Dépendance à la technologie,Ma relation à la technologie est bonne puisque je suis dans une génération qui a quand même baigné dedans depuis tout petit. Donc je ne suis pas très familière à ce genre de logiciels ou d'intelligence artistique.
Méta-thème non assigné,Thème non assigné,Dépendance à l'outil,"Oui, je pense que maintenant, ce serait compliqué de revenir travailler comme avant, comme au lycée ou autre. Mais je ne trouve pas que c'est mal. Je trouve que c'est au contraire s'adapter avec les outils qu'on nous propose et s'y intéresser aussi."
Méta-thème non assigné,Thème non assigné,Dépendance à l'outil,"Oui, je pense que maintenant, ce serait compliqué de revenir travailler comme avant, comme au lycée ou autre. Mais je ne trouve pas que c'est mal. Je trouve que c'est au contraire s'adapter avec les outils qu'on nous propose et s'y intéresser aussi."
Méta-thème non assigné,Thème non assigné,Rôle de l'outil dans l'apprentissage,"Ben non, au contraire, parce que du coup, je peux me concentrer sur d'autres choses qui sont aussi importantes. C'est une aide, en fait. On ne va pas se dire Non, je ne vais pas l'utiliser et du coup, je vais être encore plus mal, encore plus stressée, encore plus surchargée de travail, je trouverais ça dommage en fait."
Méta-thème non assigné,Thème non assigné,Rôle de l'outil dans l'apprentissage,"Ben non, au contraire, parce que du coup, je peux me concentrer sur d'autres choses qui sont aussi importantes. C'est une aide, en fait. On ne va pas se dire Non, je ne vais pas l'utiliser et du coup, je vais être encore plus mal, encore plus stressée, encore plus surchargée de travail, je trouverais ça dommage en fait."
