Méta-thème,Thème,Code,Extrait
Adaptation IA collaborative,Adaptation IA collaborative,Adaptabilité et ajustement,ce que je pourrais proposer en tout cas c'est de créer un GPT interne à l'université pour qu'il puisse s'adapter au professeur que ça soit on va dire fourni à tout le monde comme ça on part sur la même base chacun
Adaptation IA collaborative,Adaptation IA collaborative,Adaptabilité et ajustement,ce que je pourrais proposer en tout cas c'est de créer un GPT interne à l'université pour qu'il puisse s'adapter au professeur que ça soit on va dire fourni à tout le monde comme ça on part sur la même base chacun
Adaptation IA collaborative,Adaptation IA collaborative,Adaptation à la technologie,"Je ne m'y connais pas sur le bout des doigts, je n'ai pas une passion débordante mais dans notre monde, surtout avec mes études je suis obligé de me tenir renseigner, encore plus avec l'ampleur que cela prend de nos jours"
Adaptation IA collaborative,Adaptation IA collaborative,Adaptation à la technologie,"Je ne m'y connais pas sur le bout des doigts, je n'ai pas une passion débordante mais dans notre monde, surtout avec mes études je suis obligé de me tenir renseigner, encore plus avec l'ampleur que cela prend de nos jours"
Adaptation IA collaborative,Adaptation IA collaborative,Interactivité et co-construction,"Exactement. Par exemple, pour une recherche universitaire , pour chercher un article ou développer par exemple un bout de réflexion, je vais lui dire ""OK, ça je veux faire ça. Hop, comment est-ce que tu le tournerais? Comment est-ce que tu créerais le prompt idéal pour que j'atteigne ce résultat?"" À partir de là, on fournit le prompt et c'est très bien je trouve."
Adaptation IA collaborative,Adaptation IA collaborative,Interactivité et co-construction,"Exactement. Par exemple, pour une recherche universitaire , pour chercher un article ou développer par exemple un bout de réflexion, je vais lui dire ""OK, ça je veux faire ça. Hop, comment est-ce que tu le tournerais? Comment est-ce que tu créerais le prompt idéal pour que j'atteigne ce résultat?"" À partir de là, on fournit le prompt et c'est très bien je trouve."
Amélioration IA,Amélioration IA,Amélioration des capacités,"Alors dans les réponses fournies, ça s'améliore. Il y avait une grande différence entre le chat GPT quand il est sorti et le 4 et maintenant avec le 4 J'ai vu une grosse différence, dans les réponses dans les recherches web que maintenant il peut faire."
Amélioration IA,Amélioration IA,Amélioration des capacités,"Alors dans les réponses fournies, ça s'améliore. Il y avait une grande différence entre le chat GPT quand il est sorti et le 4 et maintenant avec le 4 J'ai vu une grosse différence, dans les réponses dans les recherches web que maintenant il peut faire."
Anxiété créative,Anxiété créative,Anxiété normative,"ça me brise le cœur de me dire, « bon ce mot est trop beau, il faut que je le mette quelque chose de plus humain, quoi. »"
Anxiété créative,Anxiété créative,Anxiété normative,"ça me brise le cœur de me dire, « bon ce mot est trop beau, il faut que je le mette quelque chose de plus humain, quoi. »"
Anxiété créative,Anxiété créative,Anxiété normative,"ça me brise le cœur de me dire, « bon ce mot est trop beau, il faut que je le mette quelque chose de plus humain, quoi. »"
Anxiété créative,Anxiété créative,Anxiété normative,"ça me brise le cœur de me dire, « bon ce mot est trop beau, il faut que je le mette quelque chose de plus humain, quoi. »"
Complémentarité IA,Complémentarité IA,Assistant cognitif,"C’est vraiment juste un assistant Enquêteur : Donc, vous lui demandez les tâches qui vous semblent nécessiter le moins de réflexion ? Enquêté : Pas forcément c'est juste que si j'ai une tâche , où j'ai du mal ou que j'ai besoin d'un d'aide, je vais lui demander mais je ne vais pas lui dire de tout faire, c'est tout."
Complémentarité IA,Complémentarité IA,Assistant cognitif,"C’est vraiment juste un assistant Enquêteur : Donc, vous lui demandez les tâches qui vous semblent nécessiter le moins de réflexion ? Enquêté : Pas forcément c'est juste que si j'ai une tâche , où j'ai du mal ou que j'ai besoin d'un d'aide, je vais lui demander mais je ne vais pas lui dire de tout faire, c'est tout."
Complémentarité IA,Complémentarité IA,Complémentarité cognitive,"ça m'aide beaucoup pour lire pour rédiger, faire des bullet points et aussi essayer de pousser un peu plus loin ma pensée en général"
Complémentarité IA,Complémentarité IA,Complémentarité cognitive,"C’est bien, c'est assez pertinent, des fois un peu flippant parce que c'est vraiment pile les réponses que j'attends ou ce que j'aurais fait donc ça me parait assez fiable. Il faut juste faire vraiment attention, bien relire. On ne sait jamais."
Complémentarité IA,Complémentarité IA,Complémentarité cognitive,Là oui il y aurait un problème parce que je ne vais pas apprendre de mon côté mais si c'est bien encadré juste pour essayer de comprendre les cours ça peut le faire.
Complémentarité IA,Complémentarité IA,Complémentarité cognitive,"ça m'aide beaucoup pour lire pour rédiger, faire des bullet points et aussi essayer de pousser un peu plus loin ma pensée en général"
Complémentarité IA,Complémentarité IA,Complémentarité cognitive,"C’est bien, c'est assez pertinent, des fois un peu flippant parce que c'est vraiment pile les réponses que j'attends ou ce que j'aurais fait donc ça me parait assez fiable. Il faut juste faire vraiment attention, bien relire. On ne sait jamais."
Complémentarité IA,Complémentarité IA,Complémentarité cognitive,Là oui il y aurait un problème parce que je ne vais pas apprendre de mon côté mais si c'est bien encadré juste pour essayer de comprendre les cours ça peut le faire.
Contrôle IA,Contrôle IA,Contrôle et limites,Il faut en garder le contrôle et ne pas le subir. Il faudrait toujours garder un professeur au cas où pour revérifier avant de distribuer le cours
Contrôle IA,Contrôle IA,Contrôle et limites,Il faut en garder le contrôle et ne pas le subir. Il faudrait toujours garder un professeur au cas où pour revérifier avant de distribuer le cours
Contrôle IA,Contrôle IA,Contrôle et maîtrise,Il faut en garder le contrôle et ne pas le subir.
Contrôle IA,Contrôle IA,Contrôle et maîtrise,Il faut en garder le contrôle et ne pas le subir.
Contrôle de l'écriture,Contrôle de l'écriture,Camouflage des traces IA,"ce mot est trop beau, il faut que je mette quelque chose de plus humain, quoi. Pour que ça fasse plus comme si c'était moi qui l'avais écrit"
Contrôle de l'écriture,Contrôle de l'écriture,Camouflage des traces IA,"ce mot est trop beau, il faut que je mette quelque chose de plus humain, quoi. » Pour que ça fasse plus comme si c'était moi qui l'avais écrit"
Contrôle de l'écriture,Contrôle de l'écriture,Camouflage des traces IA,"ce mot est trop beau, il faut que je mette quelque chose de plus humain, quoi. Pour que ça fasse plus comme si c'était moi qui l'avais écrit"
Contrôle de l'écriture,Contrôle de l'écriture,Camouflage des traces IA,"ce mot est trop beau, il faut que je mette quelque chose de plus humain, quoi. » Pour que ça fasse plus comme si c'était moi qui l'avais écrit"
Contrôle de l'écriture,Contrôle de l'écriture,Régulation de soi,"Je préfère rédiger mes propres réponses. Il faut juste faire vraiment attention, bien relire. On ne sait jamais"
Contrôle de l'écriture,Contrôle de l'écriture,Régulation de soi,"Je préfère rédiger mes propres réponses. Il faut juste faire vraiment attention, bien relire. On ne sait jamais"
Contrôle de l'écriture,Contrôle de l'écriture,Vérification des sources,"Stratégie ? en général je lui demande les sources ça c'est important et quand ce sont des informations importantes, je vais aussi vérifier de mon côté avoir d'autres avis en fait que GPT. Il faut vérifier les sources qui vous donnent pour voir si ça correspond quand même à ce dont vous avez besoin."
Contrôle de l'écriture,Contrôle de l'écriture,Vérification des sources,"Stratégie ? en général je lui demande les sources ça c'est important et quand ce sont des informations importantes, je vais aussi vérifier de mon côté avoir d'autres avis en fait que GPT. Il faut vérifier les sources qui vous donnent pour voir si ça correspond quand même à ce dont vous avez besoin."
Contrôle de l'écriture,Contrôle de l'écriture,Évolution des standards,"ça change les standards. Avant, on devait tout faire nous-mêmes, du coup au bout d'un moment t'as fait un travail pendant 3 semaines"
Contrôle de l'écriture,Contrôle de l'écriture,Évolution des standards,"ça change les standards. Avant, on devait tout faire nous-mêmes, du coup au bout d'un moment t'as fait un travail pendant 3 semaines"
Contrôle de l'écriture,Contrôle de l'écriture,Évolution des standards,"ça change les standards. Avant, on devait tout faire nous-mêmes, du coup au bout d'un moment t'as fait un travail pendant 3 semaines"
Contrôle de l'écriture,Contrôle de l'écriture,Évolution des standards,"ça change les standards. Avant, on devait tout faire nous-mêmes, du coup au bout d'un moment t'as fait un travail pendant 3 semaines"
Contrôle de l'écriture,Contrôle de l'écriture,Évolution des standards,"ça change les standards. Avant, on devait tout faire nous-mêmes, du coup au bout d'un moment t'as fait un travail pendant 3 semaines"
Contrôle de l'écriture,Contrôle de l'écriture,Évolution des standards,"ça change les standards. Avant, on devait tout faire nous-mêmes, du coup au bout d'un moment t'as fait un travail pendant 3 semaines"
Contrôle de l'écriture,Contrôle de l'écriture,Évolution des standards,"ça change les standards. Avant, on devait tout faire nous-mêmes, du coup au bout d'un moment t'as fait un travail pendant 3 semaines"
Contrôle de l'écriture,Contrôle de l'écriture,Évolution des standards,"ça change les standards. Avant, on devait tout faire nous-mêmes, du coup au bout d'un moment t'as fait un travail pendant 3 semaines"
Dépendance à l'IA,Dépendance à l'IA,Dépendance stratégique,"Je n’ai pas d’ordre d’idées sur vraiment un temps gagner. Mais cela supprimer des taches même si elle n’était pas longue, en le faisant d ’une même qualité voir mieux. Lire un texte et sortir les idées principales sont simple pour une IA, c’est le meilleur exemple je pe nse."
Dépendance à l'IA,Dépendance à l'IA,Dépendance stratégique,"Je n’ai pas d’ordre d’idées sur vraiment un temps gagner. Mais cela supprimer des taches même si elle n’était pas longue, en le faisant d ’une même qualité voir mieux. Lire un texte et sortir les idées principales sont simple pour une IA, c’est le meilleur exemple je pe nse."
Dépendance à l'IA,Dépendance à l'IA,Dépendance temporelle,"C’est un assistant, c’est tout, donc pas de dépendance. Le stress provient de l’examen en lui-même ou du rendu et non de la manière de le rendre"
Dépendance à l'IA,Dépendance à l'IA,Dépendance temporelle,"C’est un assistant, c’est tout, donc pas de dépendance. Le stress provient de l’examen en lui-même ou du rendu et non de la manière de le rendre"
Légitimité IA,Légitimité IA,Légitimité construite,"Oui, c'est légitime parce que comme je le dis c e n’est qu’un outil. Donc autant l'utiliser, la légitimité ne se construit pas sur cela pour moi."
Légitimité IA,Légitimité IA,Légitimité construite,"Oui, c'est légitime parce que comme je le dis c e n’est qu’un outil. Donc autant l'utiliser, la légitimité ne se construit pas sur cela pour moi."
Légitimité IA,Légitimité IA,Légitimité encadrée,"C'est vrai que si je ne sais pas, j'étais au collège même en primaire j'avais GPT pour faire toutes mes dissertations, faire mes devoirs de math. Là oui il y aurait un problème parce que je ne vais pas apprendre de mon côté mais si c'est bien encadré juste pour essayer de comprendre les cours ça peut le faire."
Légitimité IA,Légitimité IA,Légitimité encadrée,"C'est vrai que si je ne sais pas, j'étais au collège même en primaire j'avais GPT pour faire toutes mes dissertations, faire mes devoirs de math. Là oui il y aurait un problème parce que je ne vais pas apprendre de mon côté mais si c'est bien encadré juste pour essayer de comprendre les cours ça peut le faire."
Méta-thème non assigné,Thème non assigné,Exigence accrue,ça rend le truc plus exigeant parce qu'on a accès à un contenu de qualité relativement vite
Méta-thème non assigné,Thème non assigné,Exigence accrue,ça rend le truc plus exigeant parce qu'on a accès à un contenu de qualité relativement vite
Méta-thème non assigné,Thème non assigné,Temporalité transformée,"on a accès à un contenu de qualité relativement vite, je pense qu'il y a des standards où je me dis que ce n'est pas exactement ce que je veux"
Méta-thème non assigné,Thème non assigné,Temporalité transformée,"on a accès à un contenu de qualité relativement vite, je pense qu'il y a des standards où je me dis que ce n'est pas exactement ce que je veux"
Usage ciblé IA,Usage ciblé IA,Usage ciblé et délimité,Je ne lui demande pas de réaliser des projets entier pour me macher le travail. Je préfère rédiger mes propres réponses.
Usage ciblé IA,Usage ciblé IA,Usage ciblé et délimité,"Enquêté : Ils nous conseillent de l'utiliser parce que c'est un outil comme un autre, il faut l'utiliser pour pas être en retard sur les autres, on va dire pour les s'y habituer et comprendre en plus les enjeux qui s'y accrochent."
Usage ciblé IA,Usage ciblé IA,Usage ciblé et délimité,Je ne lui demande pas de réaliser des projets entier pour me macher le travail. Je préfère rédiger mes propres réponses.
Usage ciblé IA,Usage ciblé IA,Usage ciblé et délimité,"Enquêté : Ils nous conseillent de l'utiliser parce que c'est un outil comme un autre, il faut l'utiliser pour pas être en retard sur les autres, on va dire pour les s'y habituer et comprendre en plus les enjeux qui s'y accrochent."
Usage ciblé IA,Usage ciblé IA,Utilisation encadrée,Je pense que ça doit être encadré. Ça permet d'automatiser pas mal de choses de simplifier les actions de tous les jours mais à voir dans le long terme si ça ne va pas être une nuisance
Usage ciblé IA,Usage ciblé IA,Utilisation encadrée,Je pense que ça doit être encadré. Ça permet d'automatiser pas mal de choses de simplifier les actions de tous les jours mais à voir dans le long terme si ça ne va pas être une nuisance
Évaluation pertinence réponse,Évaluation pertinence réponse,Évaluation de la qualité,"C’est bien, c'est assez pertinent, des fois un peu flippant parce que c'est vraiment pile les réponses que j'attends ou ce que j'aurais fait donc ça me parait assez fiable. Il faut juste faire vraiment attention, bien relire. On ne sait jamais."
Évaluation pertinence réponse,Évaluation pertinence réponse,Évaluation de la qualité,"C’est bien, c'est assez pertinent, des fois un peu flippant parce que c'est vraiment pile les réponses que j'attends ou ce que j'aurais fait donc ça me parait assez fiable. Il faut juste faire vraiment attention, bien relire. On ne sait jamais."
