Méta-thème,Thème,Code,Extrait
Acceptation nuancée,Acceptation nuancée,Acceptation conditionnelle,"Hassan : Euh dans quel contexte je dirais que que c'est acceptable dans tous les contextes, mis à part des contextes d'examen peut -être euh d'examen parce que ce serait trop facile"
Acceptation nuancée,Acceptation nuancée,Acceptation conditionnelle,"Hassan : Euh dans quel contexte je dirais que que c'est acceptable dans tous les contextes, mis à part des contextes d'examen peut -être euh d'examen parce que ce serait trop facile"
Avantage compétitif,Avantage compétitif,Avantage compétitif,Euh bah je pense que ça donne un avantage sur les autres étudiants et sur toutes les autres personnes qui n'utilisent pas l'IA parce que c'est une technologie comme c'est une technologie du 21e siècle et c'est la technologie du du 21e siècle et je pense que toute personne devrait comprendre comment fonctionnent les IA et comment euh comment solliciter au mieux ces cette technologie là et faire en sorte de de bien travailler de bien travailler avec
Avantage compétitif,Avantage compétitif,Avantage compétitif,Euh bah je pense que ça donne un avantage sur les autres étudiants et sur toutes les autres personnes qui n'utilisent pas l'IA parce que c'est une technologie comme c'est une technologie du 21e siècle et c'est la technologie du du 21e siècle et je pense que toute personne devrait comprendre comment fonctionnent les IA et comment euh comment solliciter au mieux ces cette technologie là et faire en sorte de de bien travailler de bien travailler avec
Complémentarité cognitive,Complémentarité cognitive,Complémentarité cognitive,"j'utilise dans mon quotidien, que ce soit dans dans le cadre de mes études ou dans le cadre professionnel, j'ai toujours un onglet chat GPT ouvert dans le sens où s’est devenu un outil indispensable et vraiment très très efficace"
Complémentarité cognitive,Complémentarité cognitive,Complémentarité cognitive,je pense directement à comment je vais utiliser de chat GPT euh lors de mon travail plutôt que de faire des recherches de mon côté qui me pourraient prendre beaucoup plus de temps
Complémentarité cognitive,Complémentarité cognitive,Complémentarité cognitive,"j'utilise dans mon quotidien, que ce soit dans dans le cadre de mes études ou dans le cadre professionnel, j'ai toujours un onglet chat GPT ouvert dans le sens où s’est devenu un outil indispensable et vraiment très très efficace"
Complémentarité cognitive,Complémentarité cognitive,Complémentarité cognitive,je pense directement à comment je vais utiliser de chat GPT euh lors de mon travail plutôt que de faire des recherches de mon côté qui me pourraient prendre beaucoup plus de temps
Dépendance technologique,Dépendance technologique,Dépendance technologique,"je me décrirai comme un peu un technophile . J'aime beaucoup tout ce qui est tout ce qui est attaché et dans ma filière en tout cas dans mon université Ouais. Étant donné que je suis un curseur data, c'est un peu c'est un peu tech"
Dépendance technologique,Dépendance technologique,Dépendance technologique,"Euh oui, totalement. Bah, ça rejoint le point de la fénéantise . Euh au jour d'aujourd'hui, tout beaucoup d'élèves utilisent chat GPT et je pense que si chat GPT, il y avait plus de chat GPT où il n'y avait plus les IA du jour au lendemain, bah ça serait une grande frustration pour tous les élèves et et on serait beaucoup moins efficace dans notre travail."
Dépendance technologique,Dépendance technologique,Dépendance technologique,"je me décrirai comme un peu un technophile . J'aime beaucoup tout ce qui est tout ce qui est attaché et dans ma filière en tout cas dans mon université Ouais. Étant donné que je suis un curseur data, c'est un peu c'est un peu tech"
Dépendance technologique,Dépendance technologique,Dépendance technologique,"Euh oui, totalement. Bah, ça rejoint le point de la fénéantise . Euh au jour d'aujourd'hui, tout beaucoup d'élèves utilisent chat GPT et je pense que si chat GPT, il y avait plus de chat GPT où il n'y avait plus les IA du jour au lendemain, bah ça serait une grande frustration pour tous les élèves et et on serait beaucoup moins efficace dans notre travail."
Dépendance technologique,Dépendance technologique,Dépendance à l'outil,"on peut on peut faire un prompt et directement avoir des réponses directes de chat GPT. Du coup, on devient un peu fainéant mais commence à modifier concrètement dans ma façon de travailler"
Dépendance technologique,Dépendance technologique,Dépendance à l'outil,"on peut on peut faire un prompt et directement avoir des réponses directes de chat GPT. Du coup, on devient un peu fainéant mais commence à modifier concrètement dans ma façon de travailler"
Efficacité technologique,Efficacité technologique,Efficacité technologique,"c'es t vraiment une technologie qui nous permet de gagner du temps, d'être plus efficace dans nos dans nos études ou dans notre travail. Du coup, les pratiques d'apprentissage euh doivent être orienté vers ce sujet"
Efficacité technologique,Efficacité technologique,Efficacité technologique,"c'es t vraiment une technologie qui nous permet de gagner du temps, d'être plus efficace dans nos dans nos études ou dans notre travail. Du coup, les pratiques d'apprentissage euh doivent être orienté vers ce sujet"
Formation IA,Formation IA,Formation à l'IA,"Hassan : Euh bah je pense que dans les prochaines années euh les pratiques d'apprentissage sont beaucoup plus orientés vers ces technologies là. Euh faudra vraiment que tout euh toutes les personnes, tous les étudiants, tous les professionnels euh se forment à l'utilisation de chat GPT"
Formation IA,Formation IA,Formation à l'IA,"Hassan : Euh bah je pense que dans les prochaines années euh les pratiques d'apprentissage sont beaucoup plus orientés vers ces technologies là. Euh faudra vraiment que tout euh toutes les personnes, tous les étudiants, tous les professionnels euh se forment à l'utilisation de chat GPT"
Gain d'efficacité,Gain d'efficacité,Gain de temps,"Du coup, c'était un gain de temps et beaucoup d'efficacité et beaucoup de temps de temps gagner de regagner"
Gain d'efficacité,Gain d'efficacité,Gain de temps,"Du coup, c'était un gain de temps et beaucoup d'efficacité et beaucoup de temps de temps gagner de regagner"
Transformation travail,Transformation travail,Transformation du travail,Euh Chat GPT a modifié ma façon de travailler euh je dirais que ça l'a modifié dans dans le bien mais aussi je pense que ça apporte une certaine certaines fénéantises dans le sens où euh on peut on peut faire un prompt et directement avoir des réponses directes de chat GPT
Transformation travail,Transformation travail,Transformation du travail,Euh Chat GPT a modifié ma façon de travailler euh je dirais que ça l'a modifié dans dans le bien mais aussi je pense que ça apporte une certaine certaines fénéantises dans le sens où euh on peut on peut faire un prompt et directement avoir des réponses directes de chat GPT
