Méta-thème,Thème,Code,Extrait
Adaptation académique IA,Adaptation académique IA,Adaptation des pratiques académiques,"Déjà je pense qu'à un moment les écoles vont devoir s'adapter au fait que les étudiants utilisent l'IA. J'ai l'impression que pour l'instant on est un peu dans un entre-deux où l'IA est pas encore utilisé à outrance par les étudiants donc c'est pas encore un enjeu majeur pour les univ, mais à terme je pense vraiment que les étudiants vont vraiment finir par abuser des IA tellement ça sera efficace pour absolument tout."
Adaptation académique IA,Adaptation académique IA,Adaptation des pratiques académiques,"Déjà je pense qu'à un moment les écoles vont devoir s'adapter au fait que les étudiants utilisent l'IA. J'ai l'impression que pour l'instant on est un peu dans un entre-deux où l'IA est pas encore utilisé à outrance par les étudiants donc c'est pas encore un enjeu majeur pour les univ, mais à terme je pense vraiment que les étudiants vont vraiment finir par abuser des IA tellement ça sera efficace pour absolument tout."
Adaptation académique IA,Adaptation académique IA,Évolution des pratiques universitaires,on doit un peu se débrouiller de notre côté. Avec mes potes de la promo on se partage souvent des sites qui peuvent aider mais sinon rien de vraiment officiel du côté de l’école.
Adaptation académique IA,Adaptation académique IA,Évolution des pratiques universitaires,on doit un peu se débrouiller de notre côté. Avec mes potes de la promo on se partage souvent des sites qui peuvent aider mais sinon rien de vraiment officiel du côté de l’école.
Adaptation académique IA,Adaptation académique IA,Évolution des standards,"ça change les standards. Avant, on devait tout faire nous-mêmes, du coup au bout d'un moment t'as fait un travail pendant 3 semaines"
Adaptation académique IA,Adaptation académique IA,Évolution des standards,"ça change les standards. Avant, on devait tout faire nous-mêmes, du coup au bout d'un moment t'as fait un travail pendant 3 semaines"
Adaptation académique IA,Adaptation académique IA,Évolution des standards,"ça change les standards. Avant, on devait tout faire nous-mêmes, du coup au bout d'un moment t'as fait un travail pendant 3 semaines"
Adaptation académique IA,Adaptation académique IA,Évolution des standards,"ça change les standards. Avant, on devait tout faire nous-mêmes, du coup au bout d'un moment t'as fait un travail pendant 3 semaines"
Adaptation académique IA,Adaptation académique IA,Évolution des standards,"ça change les standards. Avant, on devait tout faire nous-mêmes, du coup au bout d'un moment t'as fait un travail pendant 3 semaines"
Adaptation académique IA,Adaptation académique IA,Évolution des standards,"ça change les standards. Avant, on devait tout faire nous-mêmes, du coup au bout d'un moment t'as fait un travail pendant 3 semaines"
